Flame_ID,Amplitude (A),Rate (k),Time_Offset (t0),Vertical_Offset (C)
1,4.955651069917839,1.2465286401344624,5.790100754379329,5.006735425229194
2,5.0118850252619325,1.2576880707662323,18.278181425259778,4.945915286115034
3,4.6639337219780135,1.2497285456756735,30.86506517998768,5.281791624012817
4,4.67335100575088,1.2443841237330726,43.36255960025489,5.270118990939581
5,4.602585059826504,1.2504252395848872,55.86563693197785,5.344079315580123
6,4.851691666603889,1.249377660210622,68.33229279514413,5.089068199663741
7,4.698459975683209,1.2247598914443805,80.87110492722582,5.262584508411328
8,4.750347202613021,1.232129737712447,93.34752233772079,5.195385815915365
9,4.72725683206286,1.2368638718308809,105.85419510004245,5.225045366169933
10,4.479083413662743,1.2459429118875933,118.41116520256783,5.449432789833466
11,4.669348889778454,1.261900560005462,130.87363027053456,5.249659247066335
12,4.993399433337101,1.240686924276838,143.33104676972343,4.940567713408558
13,4.786261527898673,1.2261995698281456,155.8519672439578,5.157980081205418
14,4.709320338187009,1.2282388049091655,168.36265826871428,5.225577175692028
15,4.470583999213936,1.2278192034031676,180.91085670597974,5.468376885954647
16,4.987778650043139,1.222395801529963,193.33272695057664,4.94553070807398
17,4.589898539662694,1.2288389172919474,205.90671026874335,5.340412454926066
18,4.879314694136698,1.2400694334153615,218.33956487930317,5.0370160476100745
19,4.704583669931249,1.2489142468123886,230.88414645084302,5.19648339438886
