Flame_ID,A,k,t0,C
1,4.961955316412016,1.2337906882274992,5.789812302546219,5.0139470810649795
2,5.012182927565868,1.253976542261209,18.27820057482814,4.949347441398129
3,4.551105477237311,1.2342679203431448,30.886089138741514,5.410916243359716
4,4.603005155739692,1.232547725649007,43.375190044818254,5.350781871971852
5,4.501268774681253,1.2348854366674324,55.88521960143918,5.463112690175291
6,5.130078462890108,1.2449052146937731,68.2857491277504,4.808211402348907
7,4.893712831987012,1.2191290550085923,80.8415104866962,5.07494298961152
8,4.632185649271617,1.2192053225417,93.36935619435359,5.327955846209453
9,4.654600394874126,1.2294615213169915,105.8699902715966,5.307797230022517
10,4.336481745703109,1.2379791296843137,118.43787410040329,5.599837114709524
11,4.682322615422077,1.2428856293354855,130.87320182285615,5.2589915056762235
12,4.994447513159884,1.2291026241369518,143.33162750838716,4.952949547578929
13,4.904272566779554,1.2205272809033747,155.8360730341645,5.050423419594978
14,4.977264165872134,1.2099224531696007,168.31777240007875,4.975291903990668
15,4.315325041915525,1.222066813916417,180.9403550997354,5.628837111851721
16,4.991610526562384,1.2120608916362587,193.33264525305836,4.953252328960697
17,4.492065959028862,1.2100130222595449,205.9266281722164,5.460397341958334
18,4.860703368562673,1.2366047772099291,218.34227126255968,5.057023381918777
