Flame_ID,Timestamp_s,Position_CM
1,5.767,5.0
1,5.800,5.09
1,5.833,5.31
1,5.867,5.49
1,5.900,5.63
1,5.933,5.76
1,5.967,5.92
1,6.000,6.08
1,6.033,6.24
1,6.067,6.39
1,6.100,6.56
1,6.133,6.67
1,6.167,6.85
1,6.200,6.97
1,6.233,7.11
1,6.267,7.26
1,6.300,7.32
1,6.333,7.38
1,6.367,7.56
1,6.400,7.69
1,6.467,7.75
1,6.500,7.91
1,6.533,8.03
1,6.567,8.13
1,6.600,8.21
1,6.633,8.28
1,6.667,8.34
1,6.700,8.39
1,6.733,8.46
1,6.767,8.5
1,6.800,8.58
1,6.833,8.63
1,6.867,8.71
1,6.900,8.77
1,6.933,8.8
1,6.967,8.86
1,7.000,8.9
1,7.033,8.93
1,7.067,8.97
1,7.100,9.01
1,7.133,9.04
1,7.167,9.09
1,7.200,9.11
1,7.233,9.15
1,7.267,9.18
1,7.300,9.2
1,7.333,9.22
1,7.367,9.26
1,7.400,9.28
1,7.433,9.31
1,7.467,9.33
1,7.500,9.36
1,7.533,9.37
1,7.567,9.41
1,7.600,9.43
1,7.633,9.45
1,7.667,9.47
1,7.700,9.5
1,7.767,9.52
1,7.800,9.54
1,7.833,9.56
1,7.900,9.58
1,7.933,9.59
1,7.967,9.6
1,8.000,9.61
1,8.033,9.63
1,8.067,9.65
1,8.100,9.67
1,8.167,9.67
1,8.200,9.68
1,8.233,9.7
1,8.267,9.71
1,8.333,9.71
1,8.367,9.77
1,8.400,9.78
1,8.467,9.8
1,8.533,9.81
1,8.600,9.82
1,8.667,9.83
1,8.700,9.84
1,8.767,9.84
1,8.800,9.85
1,8.833,9.86
1,8.900,9.87
1,8.933,9.88
1,8.967,9.89
1,9.033,9.89
1,9.100,9.9
1,9.133,9.91
1,9.167,9.92
1,9.233,9.93
1,9.300,9.93
1,9.367,9.93
1,9.433,9.94
1,9.500,9.94
1,9.567,9.95
1,9.633,9.95
1,9.700,9.95
1,9.767,9.95
1,9.833,9.95
1,9.900,9.95
1,9.967,9.95
1,10.033,9.95
1,10.100,9.95
1,10.167,9.95
1,10.233,9.95
1,10.300,9.95
1,10.367,9.95
1,10.433,9.95
1,10.500,9.95
1,10.567,9.95
1,10.633,9.95
1,10.700,9.95
1,10.767,9.95
1,10.833,9.95
1,10.900,9.95
1,10.967,9.95
1,11.033,9.95
1,11.100,9.95
1,11.167,9.95
1,11.233,9.95
1,11.300,9.95
1,11.367,9.95
1,11.433,9.95
1,11.500,9.95
1,11.567,9.95
1,11.633,9.95
1,11.700,9.95
1,11.767,9.95
1,11.833,9.95
1,11.900,9.95
1,11.967,9.95
1,12.033,9.95
1,12.100,9.95
1,12.167,9.95
1,12.233,9.95
1,12.300,9.95
1,12.367,9.95
1,12.433,9.95
1,12.500,9.95
1,12.567,9.95
1,12.633,9.95
1,12.700,9.95
1,12.767,9.95
1,12.833,9.95
2,18.267,4.94
2,18.300,5.2
2,18.333,5.35
2,18.367,5.5
2,18.400,5.63
2,18.433,5.8
2,18.467,5.94
2,18.500,6.1
2,18.533,6.25
2,18.567,6.38
2,18.600,6.54
2,18.633,6.72
2,18.667,6.9
2,18.700,6.98
2,18.733,7.05
2,18.767,7.27
2,18.800,7.33
2,18.833,7.39
2,18.867,7.55
2,18.900,7.62
2,18.933,7.75
2,18.967,7.85
2,19.000,7.95
2,19.033,8.06
2,19.067,8.16
2,19.100,8.22
2,19.133,8.3
2,19.167,8.37
2,19.200,8.46
2,19.233,8.51
2,19.267,8.57
2,19.300,8.63
2,19.333,8.68
2,19.367,8.73
2,19.400,8.79
2,19.433,8.8
2,19.467,8.87
2,19.500,8.91
2,19.533,8.95
2,19.567,8.99
2,19.600,9.02
2,19.633,9.06
2,19.667,9.08
2,19.700,9.1
2,19.733,9.16
2,19.767,9.19
2,19.800,9.21
2,19.833,9.24
2,19.867,9.27
2,19.900,9.29
2,19.933,9.3
2,19.967,9.34
2,20.000,9.36
2,20.033,9.39
2,20.067,9.41
2,20.100,9.43
2,20.133,9.46
2,20.167,9.47
2,20.200,9.5
2,20.233,9.52
2,20.267,9.53
2,20.300,9.54
2,20.333,9.55
2,20.367,9.57
2,20.400,9.59
2,20.433,9.6
2,20.467,9.62
2,20.500,9.63
2,20.533,9.64
2,20.567,9.66
2,20.600,9.67
2,20.633,9.68
2,20.667,9.69
2,20.700,9.7
2,20.733,9.71
2,20.767,9.72
2,20.800,9.73
2,20.833,9.74
2,20.867,9.75
2,20.933,9.75
2,20.967,9.77
2,21.033,9.78
2,21.100,9.8
2,21.167,9.83
2,21.200,9.84
2,21.267,9.84
2,21.300,9.85
2,21.367,9.85
2,21.433,9.86
2,21.467,9.87
2,21.500,9.88
2,21.567,9.88
2,21.600,9.89
2,21.667,9.9
2,21.700,9.91
2,21.767,9.91
2,21.833,9.91
2,21.900,9.91
2,21.967,9.93
2,22.000,9.94
2,22.033,9.95
2,22.100,9.95
2,22.167,9.95
2,22.233,9.95
2,22.300,9.95
2,22.367,9.95
2,22.433,9.95
2,22.500,9.95
2,22.567,9.95
2,22.633,9.95
2,22.700,9.95
2,22.767,9.95
2,22.833,9.95
2,22.900,9.95
2,22.967,9.95
2,23.033,9.95
2,23.100,9.95
2,23.167,9.95
2,23.233,9.95
2,23.300,9.95
2,23.367,9.95
2,23.433,9.95
2,23.500,9.95
2,23.567,9.95
2,23.633,9.95
2,23.700,9.95
2,23.767,9.95
2,23.833,9.95
2,23.900,9.95
2,23.967,9.95
2,24.033,9.95
2,24.100,9.95
2,24.167,9.95
2,24.233,9.95
2,24.300,9.95
2,24.367,9.95
2,24.433,9.95
2,24.500,9.95
2,24.567,9.95
2,24.633,9.95
2,24.700,9.95
2,24.767,9.95
2,24.833,9.95
2,24.900,9.95
2,24.967,9.95
2,25.033,9.95
2,25.100,9.95
2,25.167,9.95
2,25.233,9.95
2,25.300,9.95
3,30.800,5.06
3,30.833,5.22
3,30.867,5.33
3,30.900,5.5
3,30.933,5.62
3,30.967,5.77
3,31.000,5.94
3,31.033,6.08
3,31.067,6.27
3,31.100,6.45
3,31.133,6.55
3,31.167,6.64
3,31.200,6.82
3,31.233,6.98
3,31.267,7.04
3,31.300,7.31
3,31.333,7.33
3,31.367,7.39
3,31.400,7.51
3,31.433,7.58
3,31.467,7.68
3,31.500,7.83
3,31.533,7.92
3,31.567,8.05
3,31.600,8.15
3,31.633,8.18
3,31.667,8.3
3,31.700,8.37
3,31.733,8.43
3,31.767,8.48
3,31.800,8.52
3,31.833,8.61
3,31.867,8.66
3,31.900,8.71
3,31.933,8.76
3,31.967,8.8
3,32.000,8.84
3,32.033,8.89
3,32.067,8.93
3,32.100,8.97
3,32.167,9.03
3,32.200,9.08
3,32.233,9.12
3,32.267,9.16
3,32.300,9.18
3,32.333,9.2
3,32.367,9.22
3,32.400,9.26
3,32.433,9.28
3,32.467,9.3
3,32.500,9.31
3,32.533,9.35
3,32.567,9.37
3,32.600,9.39
3,32.633,9.43
3,32.667,9.45
3,32.700,9.47
3,32.733,9.5
3,32.800,9.52
3,32.867,9.54
3,32.900,9.57
3,32.933,9.58
3,33.000,9.61
3,33.033,9.62
3,33.067,9.63
3,33.133,9.66
3,33.167,9.67
3,33.200,9.68
3,33.267,9.69
3,33.333,9.71
3,33.367,9.72
3,33.400,9.75
3,33.433,9.76
3,33.500,9.76
3,33.533,9.77
3,33.567,9.79
3,33.633,9.81
3,33.700,9.82
3,33.767,9.84
3,33.833,9.85
3,33.900,9.85
3,33.933,9.87
3,33.967,9.88
3,34.033,9.88
3,34.067,9.89
3,34.133,9.89
3,34.200,9.89
